Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT_SW1, RESET_SW1",SW_SPST_TL3342,2,SW_SPST,C318884
"C1, C10, C11, C9",603,4,1uF,C15849
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C23, C26, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C47, C5, C6, C7, C8",603,34,100nF,C14663
"C2, C24, C27, C3",603,4,10uF,C19702
"C21, C22",603,2,30pF,C1658
"C25, C28",CP_Elec_6.3x5.9,2,100uF,C134878
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D7, D8, D9",D_SOD-123,66,D_Small,C81598
F1,1206,1,500mA,C70076
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"J2, J3",JING 903-231A2031S10100,2,USB_A,C42646
"L1, L2, L3",603,3,"220V @ 100MHz, 2A",C85832
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,16,SK6812MINI,C2922787
"R1, R2",402,2,5.1kR,C25905
"R10, R11, R12, R14, R3, R4, R6, R7, R8, R9",603,10,10kR,C25804
R13,603,1,2.7kR,C13167
U1,SOT-23,1,XC6206PxxxMR,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8T6,C81720
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MIC2026-2BN,C148072
U4,LQFP-48_7x7mm_P0.5mm,1,FE1.1,C28958
"U5, U6, U7",SOT-23-6-routable,3,SRV05-4,C85364
U8,SOT-23-5,1,74AHCT1G125,C7484
Y1,Crystal_SMD_3225-4pin_3.2x2.5mm,1,12MHz,C9002
